id,nome,posição,idade,data_nascimento,nacionalidade,time,liga,total_jogos,jogos_escalados,minutos_jogados,gols_sofridos,defesas,gols,assistências,total_chutes,chutes_no_gol,dribles_tentados,dribles_realizados,total_passes,passes_chaves,índice_passes_certos,desarmes,faltas_sofridas,faltas_cometidas
10552,Danilo Barcelos,Defender,30,17/08/1991,Brazil,Fluminense,Brasileiro Série A,16,16,1440,0,0,1,0,2,1,3,2,63,2,77,5,0,5
61809,Luccas Claro dos Santos,Defender,30,02/10/1991,Brazil,Fluminense,Brasileiro Série A,25,24,2100,0,0,2,0,10,3,8,8,1068,4,50,19,19,19
10084,Egídio,Defender,35,16/06/1986,Brazil,Fluminense,Brasileiro Série A,15,15,1350,0,0,0,4,9,3,18,14,712,20,57,37,13,17
10300,Igor Julião,Defender,27,23/08/1994,Brazil,Fluminense,Brasileiro Série A,18,17,1542,0,0,0,3,10,1,32,14,518,12,38,33,31,40
10301,Matheus Ferraz,Defender,36,12/02/1985,Brazil,Fluminense,Brasileiro Série A,12,10,920,0,0,0,1,11,2,1,0,497,2,40,5,4,12
10306,Nino,Defender,24,10/04/1997,Brazil,Fluminense,Brasileiro Série A,22,21,1954,0,0,2,0,6,2,5,5,955,2,50,24,37,15
133194,Calegari,Midfielder,19,27/02/2002,Brazil,Fluminense,Brasileiro Série A,16,16,1419,0,0,0,0,8,3,32,26,641,10,40,36,42,23
10311,Ganso,Midfielder,32,12/10/1989,Brazil,Fluminense,Brasileiro Série A,18,3,560,0,0,1,2,8,3,10,9,435,17,41,16,9,8
10348,Yago Felipe,Midfielder,26,03/02/1995,Brazil,Fluminense,Brasileiro Série A,23,15,1338,0,0,2,0,12,7,15,7,623,10,36,41,32,35
9970,Nenê,Midfielder,40,19/07/1981,Brazil,Fluminense,Brasileiro Série A,25,22,1740,0,0,8,1,36,19,19,12,730,31,34,13,47,15
10527,Caio Paulista,Midfielder,23,11/05/1998,Brazil,Fluminense,Brasileiro Série A,18,3,519,0,0,3,1,9,5,23,16,190,9,8,8,14,10
280245,Matheus,Midfielder,20,10/05/2001,Brazil,Fluminense,Brasileiro Série A,7,5,469,0,0,0,0,3,2,15,9,324,2,42,8,4,9
10315,Yuri,Midfielder,27,05/08/1994,Brazil,Fluminense,Brasileiro Série A,15,13,1027,0,0,0,0,9,4,3,2,588,7,55,18,11,28
9966,Húdson,Midfielder,33,30/01/1988,Brazil,Fluminense,Brasileiro Série A,21,18,1447,0,0,0,2,7,5,11,6,771,10,35,34,21,35
10398,Wellington Silva,Attacker,28,06/01/1993,Brazil,Fluminense,Brasileiro Série A,22,14,1101,0,0,4,2,12,5,63,36,349,16,32,10,35,14
51701,M. Araújo,Attacker,25,28/09/1996,Uruguay,Fluminense,Brasileiro Série A,24,23,1779,0,0,1,0,32,11,74,45,596,15,34,35,70,33
42163,Lucca,Attacker,31,14/02/1990,Brazil,Fluminense,Brasileiro Série A,12,5,507,0,0,2,1,9,5,6,1,151,6,9,12,15,13
10003,Felippe Cardoso,Attacker,23,04/10/1998,Brazil,Fluminense,Brasileiro Série A,20,3,567,0,0,2,0,13,8,19,13,118,4,4,7,11,21
10104,Fred,Attacker,38,03/10/1983,Brazil,Fluminense,Brasileiro Série A,19,14,1139,0,0,4,2,16,9,5,4,262,15,22,2,33,29
10322,Marcos Paulo,Attacker,20,01/02/2001,Portugal,Fluminense,Brasileiro Série A,24,14,1211,0,0,3,3,20,7,36,28,421,19,29,11,9,12
39807,F. Pacheco,Attacker,22,26/06/1999,Peru,Fluminense,Brasileiro Série A,12,5,406,0,0,0,0,5,1,10,4,101,3,27,8,10,9
265785,Luiz Henrique,Attacker,20,02/01/2001,Brazil,Fluminense,Brasileiro Série A,20,7,757,0,0,1,1,11,3,49,32,209,8,25,18,8,13
9944,Tiago Volpi,Goalkeeper,31,19/12/1990,Brazil,Sao Paulo,Brasileiro Série A,32,32,2880,34,89,0,1,0,0,2,2,984,2,34,1,6,0
9945,Bruno Fabiano Alves,Defender,30,16/04/1991,Brazil,Sao Paulo,Brasileiro Série A,22,20,1662,0,0,0,0,8,1,9,9,914,3,42,21,33,31
2571,R. Arboleda,Defender,30,22/10/1991,Ecuador,Sao Paulo,Brasileiro Série A,15,13,1183,0,0,1,0,11,8,4,2,833,1,56,16,13,17
143363,Diego,Defender,22,21/07/1999,Brazil,Sao Paulo,Brasileiro Série A,18,17,1426,0,0,1,0,9,4,10,10,962,3,51,30,13,34
9946,Reinaldo Manoel da Silva,Defender,32,28/09/1989,Brazil,Sao Paulo,Brasileiro Série A,30,29,2635,0,0,5,6,25,15,33,20,1276,62,43,32,35,38
9949,Igor Vinicius,Defender,24,01/04/1997,Brazil,Sao Paulo,Brasileiro Série A,22,12,1157,0,0,0,2,7,2,41,19,594,15,34,27,17,36
9951,Léo,Defender,25,06/03/1996,Brazil,Sao Paulo,Brasileiro Série A,19,15,1274,0,0,0,1,4,0,23,17,820,4,48,9,18,10
41,Juanfran,Defender,36,09/01/1985,Spain,Sao Paulo,Brasileiro Série A,19,18,1370,0,0,0,1,7,2,16,7,601,23,34,25,11,17
256,Dani Alves,Midfielder,38,06/05/1983,Brazil,Sao Paulo,Brasileiro Série A,25,25,2239,0,0,1,2,29,9,38,27,1975,60,76,36,48,52
9957,Luan,Midfielder,22,14/05/1999,Brazil,Sao Paulo,Brasileiro Série A,24,18,1581,0,0,0,1,8,4,20,18,1291,11,64,32,12,30
9958,Danilo das Neves Pinheiro,Midfielder,29,30/08/1992,Brazil,Sao Paulo,Brasileiro Série A,28,21,1925,0,0,3,2,26,11,38,22,1316,22,52,23,31,26
