id,nome,posição,idade,data_nascimento,nacionalidade,time,id_liga,liga,total_chutes,chutes_no_gol,gols,gols_sofridos,assistências,defesas,total_passes,passes_chaves,índice_passes_certos,desarmes,dribles_tentados,dribles_realizados,faltas_sofridas,faltas_cometidas,total_jogos,minutos_jogados,jogos_escalados,chutes/min,chutes_no_gol/min,gols/min,sofridos/min,assistências/min,defesas/min,passes/min,passes_chaves/min,desarmes/min,dribles_tentados/min,dribles_realizados/min,faltas_sofridas/min,faltas_cometidas/min
52833,Jesús Manuel Meza Moreno,Midfielder,35,06/01/1986,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1101,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103773,Ayrton Andrés Páez Yepez,Midfielder,26,16/01/1995,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,572,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52821,Cristian Yonaiker Rivas Vielma,Midfielder,24,20/01/1997,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1100,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52841,Edson Armando Rivas Vielma,Midfielder,20,23/10/2001,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,1393,16,0.0,0.0,0.0007178750897343862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52129,Armando José Araque Peña,Attacker,32,06/03/1989,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,783,9,0.0,0.0,0.005108556832694764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52843,Ever David Urrutia Espinal,Attacker,20,22/04/2001,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,444,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52457,H. Plazas,Defender,29,12/12/1992,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,1350,14,0.0,0.0,0.0022222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52815,G. Del Castillo,Defender,30,13/05/1991,Venezuela,Estudiantes de Merida FC,1350.0,Liga Venezuela,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,540,7,0.0,0.0,0.001851851851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52968,Edgar Hernán Jiménez González,Midfielder,36,19/10/1984,Venezuela,Mineros de Guyana,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,540,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52951,Edgar David Pérez Rodríguez,Goalkeeper,34,30/01/1987,Venezuela,Mineros de Guyana,1350.0,Liga Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1107,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
